Question,Topic,Difficulty Level,Category,Option A,Option B,Option C,Option D,Correct Answer
Q52: What is the chemical formula for sodium chloride?,9,2,2,NaCl,HCl,KCl,NaOH,A
Q49: Which gas is released when an acid reacts with a metal?,9,0,2,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q70: Which element has the highest atomic number?,9,1,2,Oxygen,Uranium,Gold,Helium,B
Q4: What is the pH of a neutral solution?,8,2,2,7,5,9,3,A
Q26: What is the pH of a neutral solution?,8,0,1,7,5,9,3,A
Q16: Which acid is found in lemons?,8,1,2,Sulfuric Acid,Hydrochloric Acid,Citric Acid,Acetic Acid,C
Q59: Which acid is found in lemons?,2,2,1,Sulfuric Acid,Hydrochloric Acid,Citric Acid,Acetic Acid,C
Q45: Which metal is the best conductor of electricity?,2,0,2,Copper,Iron,Aluminium,Silver,D
Q83: What is the chemical formula of water?,2,1,1,H2O,CO2,O2,NaCl,A
Q38: Which gas is released when an acid reacts with a metal?,6,2,1,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q66: What is the pH of a neutral solution?,6,0,0,7,5,9,3,A
Q13: Which metal is the best conductor of electricity?,5,2,2,Copper,Iron,Aluminium,Silver,D
Q92: What is the chemical formula of water?,5,0,0,H2O,CO2,O2,NaCl,A
Q6: Which of the following is an organic compound?,5,1,2,Methane,Sodium Chloride,Iron Oxide,Calcium Carbonate,A
Q54: Which element has the highest atomic number?,1,2,0,Oxygen,Uranium,Gold,Helium,B
Q30: Which acid is found in lemons?,1,0,1,Sulfuric Acid,Hydrochloric Acid,Citric Acid,Acetic Acid,C
Q74: Which process is used to separate crude oil into its components?,1,1,0,Filtration,Fractional Distillation,Evaporation,Crystallization,B
Q44: Which of the following is an organic compound?,4,2,0,Methane,Sodium Chloride,Iron Oxide,Calcium Carbonate,A
Q50: What is the chemical formula for sodium chloride?,4,0,0,NaCl,HCl,KCl,NaOH,A
Q78: What is the pH of a neutral solution?,4,1,2,7,5,9,3,A
Q57: Which metal is the best conductor of electricity?,0,2,2,Copper,Iron,Aluminium,Silver,D
Q33: What is the pH of a neutral solution?,0,0,1,7,5,9,3,A
Q46: What is the pH of a neutral solution?,0,1,1,7,5,9,3,A
Q91: Which of the following is an organic compound?,3,2,0,Methane,Sodium Chloride,Iron Oxide,Calcium Carbonate,A
Q31: Which gas is released when an acid reacts with a metal?,3,0,1,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q21: Which metal is the best conductor of electricity?,3,1,0,Copper,Iron,Aluminium,Silver,D
Q27: Which of these is a noble gas?,7,2,2,Oxygen,Nitrogen,Neon,Hydrogen,C
Q88: Which of these is a noble gas?,7,0,1,Oxygen,Nitrogen,Neon,Hydrogen,C
Q75: Which gas is released when an acid reacts with a metal?,7,1,1,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q7: Which acid is found in lemons?,2,2,2,Sulfuric Acid,Hydrochloric Acid,Citric Acid,Acetic Acid,C
Q32: Which metal is the best conductor of electricity?,8,2,1,Copper,Iron,Aluminium,Silver,D
Q28: Which element has the highest atomic number?,6,2,0,Oxygen,Uranium,Gold,Helium,B
Q68: Which of these is a noble gas?,1,1,1,Oxygen,Nitrogen,Neon,Hydrogen,C
Q2: Which acid is found in lemons?,8,0,1,Sulfuric Acid,Hydrochloric Acid,Citric Acid,Acetic Acid,C
Q69: What is the chemical formula for sodium chloride?,5,0,1,NaCl,HCl,KCl,NaOH,A
Q93: What is the pH of a neutral solution?,6,2,2,7,5,9,3,A
Q14: Which of these is a noble gas?,3,0,2,Oxygen,Nitrogen,Neon,Hydrogen,C
Q58: Which of the following is an organic compound?,9,1,0,Methane,Sodium Chloride,Iron Oxide,Calcium Carbonate,A
Q63: Which gas is released when an acid reacts with a metal?,6,2,1,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q18: Which of the following is an organic compound?,6,0,2,Methane,Sodium Chloride,Iron Oxide,Calcium Carbonate,A
Q56: Which gas is released when an acid reacts with a metal?,9,2,1,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q40: Which of these is a noble gas?,8,0,2,Oxygen,Nitrogen,Neon,Hydrogen,C
Q98: Which process is used to separate crude oil into its components?,4,2,1,Filtration,Fractional Distillation,Evaporation,Crystallization,B
Q100: Which of these is a noble gas?,5,2,2,Oxygen,Nitrogen,Neon,Hydrogen,C
Q86: What is the chemical formula for sodium chloride?,9,1,2,NaCl,HCl,KCl,NaOH,A
Q34: Which of these is a noble gas?,3,2,2,Oxygen,Nitrogen,Neon,Hydrogen,C
Q76: Which gas is released when an acid reacts with a metal?,3,2,2,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q23: What is the chemical formula of water?,5,0,1,H2O,CO2,O2,NaCl,A
Q12: What is the chemical formula of water?,5,2,1,H2O,CO2,O2,NaCl,A
Q99: Which element has the highest atomic number?,4,1,2,Oxygen,Uranium,Gold,Helium,B
